Title,Author,ISBN#,ISBN13,Date Started,Date Finished,Read?,Favorite?,
The Innovator's Mindset,George Couros,,,,,,,
The Innovators,Walter Isaacson,,,,,,,
The Insulted and Humiliated,Fyodor Dostoyevsky,,,,,,,
The International Jew,Henry Ford,,,,,,,
The Interpretation of Dreams,Sigmund Freud,,,,,,,
The Invention of Nature,Andrea Wulf,,,,,,,
The Invisible Man,H. G. Wells,,,,,,,
The Irresistible Consultant's Guide to Winning Clients,David A. Fields,,,,,,,
The Israel Lobby and U.S. Foreign Policy,John J. Mearsheimer,,,,,,,
The Journal of a Disappointed Man,W. N. P. Barbellion,,,,,,,
The Journals of Lewis and Clark,Meriwether Lewis and William Clark,,,,,,,
The Joy Luck Club,Amy Tan,,,,,,,
The Killer Angels,Michael Shaara,,,,,,,
The Kinfolk Entrepreneur,Nathan Williams,,,,,,,
The Language of Letting Go,Melody Beattie,,,,,,,
The Last Lecture,Randy Pausch,,,,,,,
The Last of the Just,André Schwarz-Bart,,,,,,,
The Last of the Mohicans,James Fenimore Cooper,,,,,,,
The Laws of Human Nature,Robert Greene,,,,,,,
The Lean Startup,Eric Ries,,,,,,,
The Left Hand of Darkness,Ursula K. Le Guin,,,,,,,
The Leopard,Giuseppe Tomasi di Lampedusa,,,,,,,
The Lessons of History,Will Durant,,,,,,,
The Letters of Vincent van Gogh,Vincent van Gogh,,,,,,,
The Liars’ Club,Mary Karr,,,,,,,
The Life and Adventures of Nicholas Nickleby,Charles Dickens,,,,,,,
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,,,,,,,
The Life of Samuel Johnson,James Boswell,,,,,,,
The Life-Changing Magic of Tidying Up,Marie Kondō,,,,,,,
The Lime Twig,John Hawkes,,,,,,,
The List of Books,Frederic Raphael and Kenneth McLeish,,,,,,,
The Little Black Book of Human Resources Management,Barry Wolfe,,,,,,,
The Little Book of Speaking Up,Jutta Ritschel,,,,,,,
The Little Prince,Antoine de Saint-Exupéry,,,,,,,
The Little Red Book of Selling,Jeffrey Gitomer,,,,,,,
The Little Red Chairs,Edna O’Brien,,,,,,,
The Little Virtues,Natalia Ginzburg,,,,,,,
The Little World of Don Camillo,Giovanni Guareschi,,,,,,,
The lives and Times of Archy and Mehitabel,Don Marquis,,,,,,,
The Lives of a Cell,Lewis Thomas,,,,,,,
The Living Thoughts of Kierkegaard,Søren Kierkegaard,,,,,,,
The Long Loneliness,Dorothy Day,,,,,,,
The Long Walk,Slavomir Rawicz,,,,,,,
The Longest Day,Cornelius Ryan,,,,,,,
The Loved One,Evelyn Waugh,,,,,,,
The Lyttelton Hart-Davis Letters,George Lyttelton and Rupert Hart-Davis,,,,,,,
The Magic Mountain,Thomas Mann,,,,,,,
The Magic of Thinking Big,David J. Schwartz,,,,,,,
The Major Works,Sir Thomas Browne,,,,,,,
The Making of the President 1960,Theodore H. White,,,,,,,
The Makioka Sisters,Jun'ichirō Tanizaki,,,,,,,
The Maltese Falcon,Dashiell Hammett,,,,,,,
The Man in the High Castle,Philip K. Dick,,,,,,,
The Man Who Loved Children,Christina Stead,,,,,,,
The Man Who Mistook His Wife for a Hat,Oliver Sacks,,,,,,,
The Man Who Solved the Market,Gregory Zuckerman,,,,,,,
The Man Who Was Thursday,G. K. Chesterton,,,,,,,
The Man Without Qualities,Robert Musil,,,,,,,
The Manticore,Robertson Davies,,,,,,,
The Maples Stories,John Updike,,,,,,,
The Marriage of Cadmus and Harmony,Roberto Calasso,,,,,,,
The Master and Margarita,Mikhail Bulgakov,,,,,,,
The Master of Go,Yasunari Kawabata,,,,,,,
The Medical Detectives,Berton Roueché,,,,,,,
The Mediterranean and the Mediterranean World in the Age of Philip II,Fernand Braudel,,,,,,,
The Memoirs of Hector Berlioz,Hector Berlioz,,,,,,,
The Metamorphosis,Franz Kafka,,,,,,,
The Metaphysical Club,Louis Menand,,,,,,,
The Mezzanine,Nicholson Baker,,,,,,,
The Millionaire Next Door,"Thomas J. Stanley Ph.D., William D. Danko Ph.D.",,,,,,,
The Mind Gym,Various,,,,,,,
The Monk and the Riddle,Randy Komisar,,,,,,,
The Moonstone,Wilkie Collins,,,,,,,
The Mouse and His Child,Russell Hoban,,,,,,,
The Moving Toyshop,Edmund Crispin,,,,,,,
The Murder of Roger Ackroyd,Agatha Christie,,,,,,,
The Myth of Male Power,Warren Farrell,,,,,,,
The Name of the Rose,Umberto Eco,,,,,,,
The Narcissist Next Door,Jeffrey Kluger,,,,,,,
The Narrow Road to the Deep North,Matsuo Bashō,,,,,,,
The Neapolitan Novels,Elena Ferrante,,,,,,,
The Nicomachean Ethics,Aristotle,,,,,,,
The Nuclear Effect,Scott Oldford,,,,,,,
The Obstacle Is the Way,Ryan Holiday,,,,,,,
The Odes of Horace,Horace,,,,,,,
The Odyssey,Homer,,,,,,,
The Official CIA Manual of Trickery and Deception,H. Kieth Melton,,,,,,,
The Old Man and the Sea,Ernest Hemingway,,,,,,,
The Oldest Dead White European Males,Bernard Knox,,,,,,,
The Once and Future King,T. H. White,,,,,,,
The One Thing,Marci Lyn Curtis,,,,,,,
The Only Living Witness,Stephen G. Michaud,,,,,,,
The Opposing Shore,Julien Gracq,,,,,,,
The Oresteia,Aeschylus,,,,,,,
The Origin of Consciousness in the Breakdown of the Bicameral Mind,Julian Jaynes,,,,,,,
"The Origins of European Thought About the Body, the Mind, the Soul, the World, Time, and Fate",R. B. Onians,,,,,,,
The Outermost House,Henry Beston,,,,,,,
The Pale King,David Foster Wallace,,,,,,,
The Panda’s Thumb,Stephen Jay Gould,,,,,,,
The Passage of Power,Robert A. Caro,,,,,,,
The Path to Power,Robert A. Caro,,,,,,,
The Perfect Stranger,P. J. Kavanagh,,,,,,,
The Personal MBA,Josh Kaufman,,,,,,,
The Phantom of the Opera,Gaston Leroux,,,,,,,
The Phantom Tollbooth,Norton Juster,,,,,,,
The Physiology of Taste,Jean Anthelme Brillat-Savarin,,,,,,,
The Piano Shop on the Left Bank,Thad Carhart,,,,,,,
The Piazza Tales,Herman Melville,,,,,,,
The Picture of Dorian Gray,Oscar Wilde,,,,,,,
The Pillow Book of Sei Shōnagon,Sei Shōnagon,,,,,,,
The Plague,Albert Camus,,,,,,,
The Poems of Catullus,Gaius Valerius Catullus,,,,,,,
The Poetics of Space,Gaston Bachelard,,,,,,,
The Poetry of Gerard Manley Hopkins,Gerard Manley Hopkins,,,,,,,
The Poetry of Robert Frost,Robert Frost,,,,,,,
The Poisonwood Bible,Barbara Kingsolver,,,,,,,
The Portable Dorothy Parker,Dorothy Parker,,,,,,,
The Portrait of a Lady,Henry James,,,,,,,
The Post-American World,Fareed Zakaria,,,,,,,
The Posthumous Memoirs of Brás Cubas,Machado de Assis,,,,,,,
The Pound Era,Hugh Kenner,,,,,,,
The Power and the Glory,Graham Greene,,,,,,,
The Power Broker,Robert A. Caro,,,,,,,
The Power of Now,Eckhart Tolle,,,,,,,
The Power of Positive Dog Training,Pat Miller,,,,,,,
The Power of Voice,Denise Woods,,,,,,,
The Pragmatic Programmer,Andy Hunt,,,,,,,
The Prelude and Other Poetry,William Wordsworth,,,,,,,
The Prince,Niccolò Machiavelli,,,,,,,
The Princess of Clèves,Madame de Lafayette,,,,,,,
The Private Memoirs and Confessions of a Justified Sinner,James Hogg,,,,,,,
The Psychology of Selling,Brian Tracy,,,,,,,
The Pursuit of Love,Nancy Mitford,,,,,,,
The Quest for Corvo,A. J. A. Symons,,,,,,,
The Qur’an,,,,,,,,
The Rainbabies,Laura Krauss,,,,,,,
The Rational Male,Rollo Tomassi,,,,,,,
The Reckoning,Charles Nicholl,,,,,,,
The Recognitions,William Gaddis,,,,,,,
The Red and the Black,Stendhal,,,,,,,
The Red Badge of Courage,Stephen Crane,,,,,,,
The Remains of the Day,Kazuo Ishiguro,,,,,,,
The Republic,Plato,,,,,,,
The Riddle of the Sands,Erskine Childers,,,,,,,
The Ride of a Lifetime,Robert Iger,,,,,,,
The Rings of Saturn,W.G. Sebald,,,,,,,
The Rise of Theodore Roosevelt,Edmund Morris,,,,,,,
The Road,Cormac McCarthy,,,,,,,
The Road from Coorain,Jill Ker Conway,,,,,,,
The Road to Serfdom,Friedrich A. Hayek,,,,,,,
The Road to Serfdom,William Hughes,,,,,,,
The Roots of Civilization,Alexander Marshack,,,,,,,
The Sagas of Icelanders,,,,,,,,
The Sailor Who Fell from Grace with the Sea,Yukio Mishima,,,,,,,
The Sales Acceleration Formula,Mark Roberge,,,,,,,
The Sales Bible,Jeffrey Gitomer,,,,,,,
The Sales Development Playbook,Trish Bertuzzi,,,,,,,
The Sandler Rules,David Mattson,,,,,,,
The Savage Detectives,Roberto Bolaño,,,,,,,
The Scarlet Letter,Nathaniel Hawthorne,,,,,,,
The Science of Information: From Language to Black Holes,Benjamin Schumacher,,,,,,,
The Science of Military Strategy,PLA,,,,,,,
The Sea and the Jungle,H. M. Tomlinson,,,,,,,
The Sea of Fertility,Yukio Mishima,,,,,,,
"The Sea, the Sea",Iris Murdoch,,,,,,,
The Seagull,Anton Chekhov,,,,,,,
The Second Sex,Simone De Beauvoir,,,,,,,
The Secret Garden,Frances Hodgson Burnett,,,,,,,
The Secret History,Donna Tartt,,,,,,,
The Secret of the Old Clock,Carolyn Keene,,,,,,,
The Selected Letters of William James,William James,,,,,,,
The Selfish Gene,Richard Dawkins,,,,,,,
The Seven Storey Mountain,Thomas Merton,,,,,,,
The Shadow of the Torturer,Gene Wolfe,,,,,,,
The Sheltering Sky,Paul Bowles,,,,,,,
The Silence of the Lambs,Thomas Harris,,,,,,,
The Silmarillion,J.R.R. Tolkien,,,,,,,
The Sirens of Titan,Kurt Vonnegut Jr.,,,,,,,
The Society of the Spectacle,Guy Debord,,,,,,,
The Songlines,Bruce Chatwin,,,,,,,
The Sonnets,William Shakespeare,,,,,,,
The Sorrows of Young Werther,Johann Wolfgang von Goethe,,,,,,,
The Sot-Weed Factor,John Barth,,,,,,,
The Souls of Black Folk,W. E. B. Du Bois,,,,,,,
The Sound and the Fury,William Faulkner,,,,,,,
The Spare Room,Helen Garner,,,,,,,
The Spirit Catches You and You Fall Down,Anne Fadiman,,,,,,,
The Spirituality of Imperfection,Ernest Kurtz,,,,,,,
The Spy Who Came In from the Cold,John le Carré,,,,,,,
The Stars My Destination,Alfred Bester,,,,,,,
The Stone Diaries,Carol Shields,,,,,,,
The Stones of Venice,John Ruskin,,,,,,,
The Stories of John Cheever,John Cheever,,,,,,,
The Story of a New Name,Elena Ferrante,,,,,,,
The Story of Babar,Jean de Brunhoff,,,,,,,
The Story of My Life,Helen Keller,,,,,,,
The Story of My Teeth,Valeria Luiselli,,,,,,,
The Story of the Lost Child,Elena Ferrante,,,,,,,
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,,,,,,,
The Stranger,Albert Camus,,,,,,,
The Stranger Beside Me,Ann Rule,,,,,,,
The Structure of Scientific Revolutions,Thomas S. Kuhn,,,,,,,
The Sun Also Rises,Ernest Hemingway,,,,,,,
The Surprise of Cremona,Edith Templeton,,,,,,,
The Sweet Hereafter,Russell Banks,,,,,,,
The Tale of Genji,Lady Murasaki Shikibu,,,,,,,
The Talented Mr. Ripley,Patricia Highsmith,,,,,,,
The Tartar Steppe,Dino Buzzati,,,,,,,
The Tempest,William Shakespeare,,,,,,,
The Temple of the Golden Pavilion,Yukio Mishima,,,,,,,
The Theory of Everything,Stephen Hawking,,,,,,,
The Things They Carried,Tim O’Brien,,,,,,,
The Third Man,Graham Greene,,,,,,,
The Thirty-Nine Steps,John Buchan,,,,,,,
The Three Golden Keys,Peter Sís,,,,,,,
The Three Musketeers,Alexandre Dumas,,,,,,,
The Three Stigmata of Palmer Eldritch,Philip K. Dick,,,,,,,
The Three-Body Problem,Liu Cixin,,,,,,,
The Thurber Carnival,James Thurber,,,,,,,
The Tin Drum,Günter Grass,,,,,,,
The Total Money Makeover,Dave Ramsey,,,,,,,
The Towers of Trebizond,Rose Macaulay,,,,,,,
The Travels of Marco Polo,Marco Polo,,,,,,,
The Trial,Franz Kafka,,,,,,,
The Trojan Women,Euripides,,,,,,,
The Tunnel,William H. Gass,,,,,,,
The Tuscan Year,Elizabeth Romer,,,,,,,
The Twelve Caesars,Suetonius,,,,,,,
The Unbearable Lightness of Being,Milan Kundera,,,,,,,
The Uncommon Reader,Alan Bennett,,,,,,,
The Unconsoled,Kazuo Ishiguro,,,,,,,
The Underground Railroad,Colson Whitehead,,,,,,,
The Undertaking,Thomas Lynch,,,,,,,
The Unicorn Project,Gene Kim,,,,,,,
The Utility of Force,General Sir Rupert Smith,,,,,,,
The Valleys of the Assassins,Freya Stark,,,,,,,
The Varieties of Religious Experience,William James,,,,,,,
The Village of Waiting,George Packer,,,,,,,
The Virgin Suicides,Jeffrey Eugenides,,,,,,,
The Voices of Silence,André Malraux,,,,,,,
The Voyage of the Beagle,Charles Darwin,,,,,,,
The Voyages of Doctor Dolittle,Hugh Lofting,,,,,,,
The Walls Came Tumbling Down,Henriette Roosenburg,,,,,,,
The War of Art,Steven Pressfield,,,,,,,
The Warden,Anthony Trollope,,,,,,,
The Wasp Factory,Iain Banks,,,,,,,
The Waste Land,T.S. Eliot,,,,,,,
The Waves,Virginia Woolf,,,,,,,
The Way of All Flesh,Samuel Butler,,,,,,,
The Way of the Samurai,Inazo Nitobe,,,,,,,
The Way of the Superior Man,David Deida,,,,,,,
The Way Things Are,Lucretius,,,,,,,
The Wicked Pavilion,Dawn Powell,,,,,,,
The Wild Ass’s Skin,Honoré De Balzac,,,,,,,
The Wilder Shores of Love,Lesley Blanch,,,,,,,
The Wind in the Willows,Kenneth Grahame,,,,,,,
The Wind-Up Bird Chronicle,Haruki Murakami,,,,,,,
The Women of Brewster Place,Gloria Naylor,,,,,,,
The Wonderful Wizard of Oz,L. Frank Baum,,,,,,,
The World According to Garp,John Irving,,,,,,,
The World As I Found It,Bruce Duffy,,,,,,,
The World of Peter Rabbit,Beatrix Potter,,,,,,,
The Worm Forgives the Plough,John Stewart Collis,,,,,,,
The Worm Ouroboros,E. R. Eddison,,,,,,,
The Worst Journey in the World,Apsley Cherry-Garrard,,,,,,,
The Year of Magical Thinking,Joan Didion,,,,,,,
The Years of Lyndon Johnson,Robert A. Caro,,,,,,,
The Young Hitler I Knew,August Kubizek,,,,,,,
Their Eyes Were Watching God,Zora Neale Hurston,,,,,,,
Their Finest Hour,Winston Churchill,,,,,,,
There Is a World Elsewhere,F. González-Crussi,,,,,,,
Things Fall Apart,Chinua Achebe,,,,,,,
Think and Grow Rich,Napoleon Hill,,,,,,,
Think Like a Monk,Jay Shetty,,,,,,,
Think Like Amazon,John Rossman,,,,,,,
"Thinking, Fast and Slow",Daniel Kahneman,,,,,,,
This Business Has Legs,Peter Bieler,,,,,,,
This House of Sky,Ivan Doig,,,,,,,
This Is How You Pitch,Ed Zitron,,,,,,,
This Naked Mind,Annie Grace,,,,,,,
This One Summer,Mariko Tamaki and Jillian Tamaki,,,,,,,
Those Guys Have All the Fun,James Andrew Miller,,,,,,,
Those Who Leave and Those Who Stay,Elena Ferrante,,,,,,,
Three Sisters,Anton Chekhov,,,,,,,
Through the Looking-Glass,Lewis Carroll,,,,,,,
Thus Spoke Zarathustra,Friedrich Nietzsche,,,,,,,
Time and Again,Jack Finney,,,,,,,
Time and the Art of Living,Robert Grudin,,,,,,,
Time Regained,Marcel Proust,,,,,,,
Titus Alon,Mervyn Peake,,,,,,,
Titus Groan,Mervyn Peake,,,,,,,
To Kill a Mockingbird,Harper Lee,,,,,,,
To Sleep in a Sea of Stars,Christopher Paolini,,,,,,,
To the Lighthouse,Virginia Woolf,,,,,,,
Tools of Titans,Timothy Ferriss,,,,,,,
Topper,Thorne Smith,,,,,,,
Torregreca,Ann Cornelisen,,,,,,,
Tracks,Robyn Davidson,,,,,,,
Training the Mind,Chögyam Trungpa,,,,,,,
Training the Samurai Mind,Thomas Cleary,,,,,,,
Travels with Charley,John Steinbeck,,,,,,,
Travels with Lizbeth,Lars Eighner,,,,,,,
Treasure Island,Robert Louis Stevenson,,,,,,,
Tribes,Seth Godin,,,,,,,
Tristes Tropiques,Claude Lévi-Strauss,,,,,,,
Tropic of Cancer,Henry Miller,,,,,,,
True History of the Kelly Gang,Peter Carey,,,,,,,
Truman,David McCullough,,,,,,,
Trump,Donald J. Trump,,,,,,,
"Trust Me, I'm Lying",Ryan Holiday,,,,,,,
Tuck Everlasting,Natalie Babbitt,,,,,,,
Twenty Thousand Leagues Under the Sea,Jules Verne,,,,,,,
Twilight of the Idols / The Anti-Christ,Friedrich Nietzsche,,,,,,,
Two Sought Adventure,Fritz Leiber,,,,,,,
Ubik,Philip K. Dick,,,,,,,
Ulysses,James Joyce,,,,,,,
Uncle Vanya,Anton Chekhov,,,,,,,
Uncopyable,Steve Miller,,,,,,,
Under the Volcano,Malcolm Lowry,,,,,,,
Understanding Exposure,Bryan Peterson,,,,,,,
Understanding Portrait Photography,Bryan Peterson,,,,,,,
Unfu*k Yourself,Gary John Bishop,,,,,,,
Unlimited Memory,Kevin Horsley,,,,,,,
Up from Slavery,Booker T. Washington,,,,,,,
Up in the Old Hotel,Joseph Mitchell,,,,,,,
V.,Thomas Pynchon,,,,,,,
Vacuum Diagrams,Stephen Baxter,,,,,,,
Vagabonding,Rolf Potts,,,,,,,
VALIS,Philip K. Dick,,,,,,,
Vanity Fair,William Makepeace Thackeray,,,,,,,
Venice for Pleasure,J. G. Links,,,,,,,
Verbal Judo,George J. Thompson,,,,,,,
Village School,Miss Read,,,,,,,
Voices from Chernobyl,Svetlana Alexievich,,,,,,,
Voices of the Old Sea,Norman Lewis,,,,,,,
Waiting for Godot,Samuel Beckett,,,,,,,
Walden,Henry David Thoreau,,,,,,,
Walt Disney,Neal Gabler,,,,,,,
War and Peace,Leo Tolstoy,,,,,,,
War in Val D’Orcia,Iris Origo,,,,,,,
Watership Down,Richard  Adams,,,,,,,
Way of the Wolf,Jordan Belfort,,,,,,,
We Die Alone,David Howarth,,,,,,,
We Will Not be Silenced,Erwin W. Lutzer,,,,,,,
West with the Night,Beryl Markham,,,,,,,
When French Women Cook,Madeleine Kamman,,,,,,,
Where the Wild Things Are,Maurice Sendak,,,,,,,
Whisky Galore,Compton Mackenzie,,,,,,,
White Noise,Don DeLillo,,,,,,,
White Teeth,Zadie Smith,,,,,,,
Who’s Afraid of Virginia Woolf?,Edward Albee,,,,,,,
Why We Can’t Wait,Martin Luther King Jr.,,,,,,,
Wide Sargasso Sea,Jean Rhys,,,,,,,
Willpower,Roy F. Baumeister,,,,,,,
"Winesburg, Ohio",Sherwood Anderson,,,,,,,
Winnie-the-Pooh,A. A. Milne,,,,,,,
Winter’s Tales,Isak Dinesen,,,,,,,
Within a Budding Grove,Marcel Proust,,,,,,,
Within the Context of No Context,George W. S. Trow,,,,,,,
Within This Wilderness,Feenie Ziner,,,,,,,
Women and Men,Joseph McElroy,,,,,,,
Work the System,Sam Carpenter,,,,,,,
World of Our Fathers,Irving Howe,,,,,,,
World of Wonders,Robertson Davies,,,,,,,
Writing Down the Bones,Natalie Goldberg,,,,,,,
Writing Great Fiction,James Hynes,,,,,,,
Writing Tools,Roy Peter Clark,,,,,,,
Wuthering Heights,Emily Brontë,,,,,,,
You Are Not So Smart,David McRaney,,,,,,,
You Are Now Less Dumb,David McRaney,,,,,,,
You Need a Budget,Jesse Mecham,,,,,,,
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,,,,,,,
Zen in the Art of Archery,Eugen Herrigel,,,,,,,
"Zen Mind, Beginner's Mind",Shunryu Suzuki,,,,,,,
Zen: The Art of Simple Living,Shunmyō Masuno,,,,,,,
Zeno’s Conscience,Italo Svevo,,,,,,,
Zibaldone,Giacomo Leopardi,,,,,,,
Zoom at Sea,Tim Wynne-Jones,,,,,,,
Zoom Away,Tim Wynne-Jones,,,,,,,
Zoom Upstream,Tim Wynne-Jones,,,,,,,
