title,imdb,releaseDate,lastWatched,watched,favorite,notes
12 Angry Men,tt0050083,1957,,YES,YES,
1984,tt0087803,,10/27/2021,YES,YES,
2001: A Space Odyssey,tt0062622,1968,,YES,YES,
9,tt0472033,2009,,YES,YES,
A Bug's Life,tt0120623,1998,,YES,YES,
A Christmas Story,tt0085334,1983,,YES,YES,
A Clockwork Orange,tt0066921,1971,,YES,YES,
A Few Good Men,tt0104257,1992,,YES,YES,
A Fistful of Dollars,tt0058461,1964,,YES,YES,
A Goofy Movie,tt0113198,1995,,YES,YES,Fantastic animation and a solid alternate Disney classic.
An Extremely Goofy Movie,tt0208185,2000,,YES,NO,
A History of Violence,tt0399146,2005,,YES,YES,
A Nightmare on Elm Street,tt0087800,1984,,YES,YES,
A Perfect World,tt0107808,1993,,YES,YES,
A Silent Voice,,2016,,YES,YES,
A Star Is Born,,1954,,YES,YES,
A Star Is Born,,2018,,YES,YES,
A Trip to the Moon,,1902,,YES,YES,
A.I. Artificial Intelligence,,2001,,YES,YES,Do you want to cry? Then this movie is for you.
Akira,,1988,,YES,YES,One of the highest budget Japanese animated movies of all time. A classic that has influenced thousands of films and anime. A must watch even if you are not an anime fan.
Aladdin,,,10/24/2021,YES,YES,
Aladdin and the King of Thieves,,,10/25/2021,YES,NO,
Aladdin: The Return of Jafar,,,10/25/2021,YES,NO,
Alice in Wonderland,,1951,12/19/2021,YES,YES,
Alien,,1979,,YES,YES,"I don’t know how the public came to the conclusion that there are, “no strong female leads anywhere.”

Bruh. Here’s one for you."
Aliens,,1986,,YES,YES,
Alive,,1993,,YES,YES,
All About Eve,,1950,,YES,YES,
All Dogs Go to Heaven,,1989,,YES,YES,
All Quiet on the Western Front,,1930,,YES,YES,
Amadeus,,1984,,YES,YES,
Amélie,,2001,,YES,YES,
American Animals,,2018,,YES,YES,
American Beauty,,1999,,YES,YES,
American Gangster,,2007,,YES,YES,
American Psycho,,2000,,YES,YES,
American Sniper,,2014,,YES,YES,
American Splendor,,2003,02/10/2021,YES,YES,
An American Tail,,1986,,YES,YES,
An American Werewolf in London,,1981,,YES,YES,
An Officer and a Gentleman,,1982,,YES,YES,
Anchorman: The Legend of Ron Burgundy,,2004,,YES,YES,
Annihilation,,2018,,YES,YES,
Apocalypse Now Redux,,2001,,YES,YES,
Apocalypto,,2006,11/04/2021,YES,YES,
Appleseed Alpha,,2014,,YES,YES,
Army of Darkness,,1992,,YES,NO,
As Good as It Gets,,1997,,YES,YES,
Austin Powers in Goldmember,,2002,,YES,YES,
Austin Powers: International Man of Mystery,,1997,,YES,YES,
Austin Powers: The Spy Who Shagged Me,,1999,,YES,YES,
Avatar,,2009,,YES,YES,
Awakenings,,1990,,YES,YES,
Baby Driver,,2017,,YES,YES,
Back to the Future,,1985,,YES,YES,
Back to the Future Part II,,1989,,YES,YES,
Back to the Future Part III,,1990,,YES,YES,
Bad Lieutenant: Port of Call - New Orleans,,2009,,YES,YES,"I list it as a favorite because of how over-the-top it is. Now that I think about it, this scenario has probably happened in the NOPD."
Bambi,,1942,,YES,YES,
Barry Lyndon,,1975,,YES,YES,
Batman: Gotham Knight,,2008,,YES,YES,
Battle Angel,,1993,,YES,YES,
Battle Royale,,2000,,YES,YES,
Beetlejuice,,1988,,YES,YES,
Before Sunrise,,1995,,YES,YES,
Beverly Hills Cop,,1984,,YES,YES,
Bicentennial Man,,1999,,YES,YES,
Big,,1988,,YES,YES,
Big Fish,,2003,,YES,YES,
Big Trouble in Little China,,1986,,YES,YES,
Bill & Ted's Excellent Adventure,,1989,,YES,YES,
Birdman or (The Unexpected Virtue of Ignorance),,2014,,YES,YES,
Black Dynamite,,2009,,YES,YES,
Black Hawk Down,,2001,,YES,YES,
Black Swan,,2010,,YES,YES,
BlacKkKlansman,,2018,,YES,NO,
Blade Runner,,1982,,YES,YES,
Blade Runner 2049,,2017,,YES,YES,
Blood: The Last Vampire,,2000,,YES,YES,
Bloodsport,,1988,,YES,YES,
Blue Velvet,,1986,,YES,YES,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,,2006,,YES,YES,
Boyhood,,2014,,YES,YES,
Braveheart,,1995,,YES,YES,
Breakfast at Tiffany's,,1961,,YES,YES,
Bridge of Spies,,2015,,YES,YES,
Caddyshack,,1980,,YES,YES,
Captain Phillips,,2013,,YES,YES,
Casablanca,,1942,,YES,YES,
Casino,,1995,,YES,YES,
Cast Away,,2000,11/09/2021,YES,YES,
Castle in the Sky,,1986,,YES,YES,
Catch Me If You Can,,2002,,YES,YES,
Children of the Corn,,,10/26/2021,YES,YES,
Christine,,1983,,YES,YES,
Cinderella,,1950,,YES,YES,
Citizen Kane,,1941,,YES,YES,
Citizenfour,,2014,,YES,YES,A scarier and more down-to-earth version of the movie “Snowden”.
Clerks,,1994,,YES,YES,
Clerks II,,2006,,YES,NO,
Cobra,,1986,,YES,YES,
Come and See,,1985,,YES,YES,This movie made me feel not ok. Amazing. I r8 8/8.
Coming to America,,1988,,YES,YES,
Commando,,1985,,YES,YES,
Con Air,,1997,,YES,YES,
Constantine,,2005,,YES,YES,
Coraline,,2009,,YES,YES,
Crazy Rich Asians,,2018,,YES,NO,
Cube,,1997,,YES,YES,
Dark City,,1998,,YES,YES,
Das Boot,,1985,,YES,YES,
Dazed and Confused,,1993,,YES,YES,
Death Proof,,2007,,YES,YES,
Demolition Man,,1993,,YES,YES,
Dial M for Murder,,1954,,YES,YES,
Die Hard,,1988,,YES,YES,
Die Hard: With a Vengeance,,1995,,YES,YES,
Dirty Dancing,,1987,,YES,YES,
Dirty Harry,,1971,,YES,YES,
District 9,,2009,,YES,YES,
Django Unchained,,2012,,YES,YES,
DodgeBall: A True Underdog Story,,2004,,YES,YES,
Dog Day Afternoon,,1975,,YES,YES,
Don’t Look Under the Bed,,,10/24/2021,YES,NO,
Donnie Darko,,2001,,YES,YES,
Downfall,,2004,,YES,YES,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,1964,,YES,YES,
Dragged Across Concrete,,2019,,YES,YES,
Drive,,2011,,YES,YES,
Dumbo,,1941,,YES,YES,
Dune,,1984,,YES,YES,
Dune,,2021,,YES,NO,
Dunkirk,,2017,,YES,YES,
E.T. the Extra-Terrestrial,,1982,,YES,NO,
Edge of Tomorrow,,2014,,YES,YES,
Edward Scissorhands,,1990,,YES,YES,
Elf,,2003,,YES,YES,
Encanto,,,12/26/2021,YES,NO,
End of Watch,,2012,,YES,YES,
Enter the Void,,2009,,YES,YES,
Equilibrium,,2002,,YES,YES,
Escape from New York,,1981,,YES,YES,
Eternal Sunshine of the Spotless Mind,,2004,,YES,YES,
EVANGELION:1.11 YOU ARE (NOT) ALONE,,,11/02/2021,YES,YES,
EVANGELION:2.22 YOU CAN (NOT) ADVANCE,,,11/02/2021,YES,YES,
EVANGELION:3.0+1.01 THRICE UPON A TIME,,,11/03/2021,YES,YES,
EVANGELION:3.33: YOU CAN (NOT) REDO,,,11/02/2021,YES,YES,
Eyes Wide Shut,,1999,,YES,YES,
Fantastic Mr. Fox,,2009,,YES,YES,
Fargo,,1996,,YES,YES,
Fast Times at Ridgemont High,,1982,,YES,YES,
Fear and Loathing in Las Vegas,,1998,,YES,YES,
Ferris Bueller's Day Off,,1986,,YES,YES,
Fight Club,,1999,11/14/2021,YES,YES,
Final Destination,,2000,,YES,YES,
First Blood,,1982,,YES,YES,
Five Easy Pieces,,1970,,YES,YES,
"Food, Inc.",,2008,,YES,YES,
Footloose,,1984,,YES,YES,
For a Few Dollars More,,1965,,YES,YES,
Forrest Gump,,1994,,YES,YES,
Four Lions,,2010,,YES,YES,
Frankenwienie,,,10/07/2021,YES,YES,
From Dusk Till Dawn,,1996,,YES,YES,
Full Metal Jacket,,1987,,YES,YES,
Fury,,2014,,YES,YES,
Gandhi,,1982,,YES,YES,
Gangs of New York,,2002,,YES,YES,
Ghost Dog: The Way of the Samurai,,1999,,YES,YES,
Ghost in the Shell,,1995,,YES,YES,
Ghost in the Shell 2: Innocence,,2004,,YES,YES,
Ghostbusters,,1984,,YES,YES,
Gladiator,,2000,,YES,YES,
Glengarry Glen Ross,,1992,,YES,YES,
"Good Morning, Vietnam",,1987,,YES,YES,
Good Will Hunting,,1997,,YES,YES,
GoodFellas,,1990,,YES,YES,
Gran Torino,,2008,,YES,YES,
Grave of the Fireflies,,1988,,YES,YES,
Gremlins,,1984,,YES,YES,
Gremlins 2: The New Batch,,1990,,YES,YES,
Groundhog Day,,1993,,YES,YES,
Hackers,,1995,,YES,YES,
Hacksaw Ridge,,2016,,YES,YES,
Harold & Kumar Go to White Castle,,2004,,YES,YES,
Heat,,1995,,YES,YES,The best heist/crime movie I have ever seen in my life. The shootout scene always puts goosebumps on my arms.
Hell or High Water,,2016,,YES,YES,
Hereditary,,2018,,YES,YES,
Highlander,,1986,,YES,YES,
Home Alone,,1990,12/25/2021,YES,YES,
Home Alone 2: Lost in New York,,1992,12/26/2021,YES,YES,
Hot Fuzz,,2007,,YES,YES,
Hot Rod,,2007,,YES,NO,
How to Train Your Dragon,,2010,,YES,YES,
Howl's Moving Castle,,2004,,YES,YES,
Idiocracy,,2006,,YES,YES,
In the Name of the Father,,1993,,YES,YES,
Inception,,2010,,YES,YES,
Incredibles 2,,2018,,YES,YES,
Independence Day,,1996,,YES,YES,
Indiana Jones and the Last Crusade,,1989,,YES,YES,
Indiana Jones and the Temple of Doom,,1984,,YES,YES,
Inglourious Basterds,,2009,,YES,YES,
Interstellar,,2014,,YES,YES,
Iron Man,,2008,,YES,YES,
Isle of Dogs,,2018,,YES,YES,
It's a Wonderful Life,,1946,,YES,YES,
Jackass Presents: Bad Grandpa,,2013,,YES,YES,
Jackie Brown,,1997,,YES,YES,
Jacob's Ladder,,1990,,YES,YES,
Jarhead,,2005,,YES,YES,
Jaws,,1975,,YES,YES,
Jiro Dreams of Sushi,,2011,,YES,YES,
John Wick,,2014,,YES,YES,
Joker,,2019,,YES,YES,
Jurassic Park,,1993,,YES,YES,
Kes,,1970,,YES,YES,One of the saddest movies I’ve ever seen. Amazing but a tear-jerker.
Kiki's Delivery Service,,1989,,YES,YES,
Kill Bill: Vol. 1,,2003,,YES,YES,
Kill Bill: Vol. 2,,2004,,YES,YES,
Kubo and the Two Strings,,2016,,YES,YES,
Kung Fu Hustle,,2004,,YES,YES,
Kung Fury,,2015,,YES,YES,
Labyrinth,,1986,,YES,YES,
Lady and the Tramp,,,10/28/2021,YES,YES,
Lady and the Tramp II: Samp’s Adventure,,,11/04/2021,YES,NO,
Lady Bird,,2017,,YES,YES,
Léon: The Professional,,1994,,YES,YES,
Lethal Weapon,,1987,,YES,YES,
Life of Brian,,1979,,YES,YES,
Life of Pi,,2012,,YES,YES,
Limitless,,2011,,YES,YES,
Lolita,,1962,,YES,YES,
Looper,,2012,,YES,YES,
Lord of War,,2005,,YES,YES,
Lost in Translation,,2003,,YES,YES,
M*A*S*H,,1970,,YES,YES,
Mad Max,,1979,,YES,YES,
Mad Max 2,,1981,,YES,NO,
Mad Max: Fury Road,,2015,,YES,YES,
Mallrats,,1995,,YES,YES,
Manchester by the Sea,,2016,,YES,YES,
Mary Poppins,,1964,,YES,NO,
Memento,,2000,,YES,YES,
Men in Black,,1997,,YES,YES,
MFKZ,,2018,,YES,YES,
Millennium Actress,,2001,,YES,YES,
Mind Game,,2004,,YES,YES,
Minority Report,,2002,,YES,YES,
Monty Python and the Holy Grail,,1975,,YES,YES,
Moonlight,,2016,,YES,NO,
mother!,,2017,,YES,YES,wtf. Awesome.
Mr. Brooks,,2007,,YES,YES,
My Big Fat Greek Wedding,,,02/11/2021,YES,YES,This was a sweet movie that caught me by surprise. I am not a big fan of romantic movies but this one will be marked as a favorite of mine.
My Neighbor Totoro,,1988,12/18/2021,YES,YES,
Napoleon Dynamite,,2004,,YES,YES,
National Lampoon's Vacation,,1983,,YES,YES,
National Treasure,,,11/07/2021,YES,YES,
National Treasure: Book of Secrets,,,11/07/2021,YES,NO,
Nausicaä of the Valley of the Wind,,1984,,YES,YES,
Neon Genesis Evangelion: The End of Evangelion,,1997,,YES,YES,
Nightcrawler,,2014,,YES,YES,
Ninja Scroll,,1993,,YES,YES,
No Country for Old Men,,2007,,YES,YES,
North by Northwest,,1959,,YES,YES,
Ocean's Eleven,,2001,,YES,YES,
Of Mice and Men,,,10/04/2021,YES,YES,
Office Space,,1999,,YES,YES,
Oldboy,,2003,,YES,YES,
Oliver & Company,,1988,,YES,YES,
On the Waterfront,,1954,,YES,NO,
Once Upon a Time… in Hollywood,,2019,,YES,YES,
One Flew Over the Cuckoo's Nest,,1975,,YES,YES,
Osmosis Jones,,,,YES,YES,
Over the Edge,,1979,,YES,YES,
Pan's Labyrinth,,2006,,YES,YES,
Paprika,,2006,,YES,YES,
Paths of Glory,,1957,,YES,YES,
Patriot Games,,1992,,YES,YES,
Patton,,1970,,YES,YES,
Perfect Blue,,1997,,YES,YES,
Peter Pan,,1953,10/02/2021,YES,YES,
Pi,,1998,,YES,YES,
Pinocchio,,1940,,YES,YES,
Planet of the Apes,,1968,,YES,YES,
Planet Terror,,2007,,YES,YES,
Platoon,,1986,,YES,YES,
Pocahontas,,,11/21/2021,YES,YES,
Point Break,,1991,,YES,YES,
Police Academy,,1984,,YES,YES,
Predator,,1987,,YES,YES,
Primal Fear,,1996,,YES,YES,
Primer,,2004,,YES,YES,
Princess Kaguya,,,01/08/2022,YES,YES,
Princess Mononoke,,1997,,YES,YES,
Prisoners,,2013,,YES,YES,
Psycho,,1960,,YES,YES,
Pulp Fiction,,1994,,YES,YES,
Raiders of the Lost Ark,,1981,,YES,YES,
Rain Man,,1988,10/20/2021,YES,YES,
Rat Race,,2001,,YES,YES,
Ratatouille,,2007,,YES,YES,
Raw,,2016,,YES,YES,
Requiem for a Dream,,2000,,YES,YES,
Reservoir Dogs,,1992,,YES,YES,
Return to Neverland,,,10/03/2021,YES,NO,
Road House,,1989,,YES,YES,
Robin Hood,,1973,,YES,YES,
RoboCop,,1987,,YES,YES,
Room,,2015,,YES,YES,
Rounders,,1998,,YES,YES,
Rushmore,,1998,,YES,YES,
Saving Private Ryan,,1998,,YES,YES,
Say Anything...,,1989,,YES,YES,
Scarface,,1983,,YES,YES,
Se7en,,1995,,YES,YES,
September 11 - The New Pearl Harbor,,2013,,YES,YES,
Seven Samurai,,1954,,YES,YES,
"Sex, Lies, and Videotape",,1989,,YES,YES,
Silence,,2016,,YES,YES,
Silent Running,,1972,,YES,YES,
Sin City,,2005,,YES,YES,
Singin' in the Rain,,1952,,YES,YES,
Sixteen Candles,,1984,,YES,YES,
Slumdog Millionaire,,2008,,YES,YES,
Snakes on a Plane,,2006,,YES,YES,
Snatch,,2000,,YES,YES,
Snowden,,2016,,YES,YES,
Snowpiercer,,2013,,YES,YES,
Spaceballs,,1987,,YES,YES,
Spartacus,,1960,,YES,YES,
Speed,,1994,,YES,YES,
Spider-Man: Into the Spider-Verse,,2018,,YES,YES,
Spirited Away,,2001,,YES,YES,
Stargate,,1994,,YES,YES,
Starship Troopers,,1997,,YES,YES,
Step Brothers,,2008,,YES,YES,
Steve Jobs,,2015,,YES,YES,
Steve Jobs: The Man In the Machine,,,11/01/2021,YES,YES,
Steve-O: Demise and Rise,,2009,,YES,YES,
Strange Days,,1995,,YES,YES,
Stripes,,1981,,YES,YES,
Summer Wars,,2009,,YES,YES,
Sweeney Todd: The Demon Barber of Fleet Street,,2007,,YES,YES,
Sword of the Stranger,,2007,,YES,YES,
Taken,,2008,,YES,YES,
Tangled,,,10/29/2021,YES,YES,
Tarzan,,1999,,YES,YES,
Taxi Driver,,1976,,YES,YES,
Team America: World Police,,2004,,YES,YES,
Tenacious D in The Pick of Destiny,,2006,,YES,YES,
Terminator,,1984,,YES,YES,
Terminator 2: Judgment Day,,1991,,YES,YES,
Thank You for Smoking,,2005,10/21/2021,YES,YES,
The Animatrix,,2003,,YES,YES,
The Aviator,,2004,,YES,YES,
The Bad News Bears,,1976,,YES,YES,
The Big Lebowski,,1998,,YES,NO,
The Black Cauldron,,1985,,YES,YES,
The Blair Witch Project,,1999,,YES,YES,
The Blues Brothers,,1980,,YES,YES,
The Boondock Saints,,1999,,YES,YES,
The Bourne Ultimatum,,2007,,YES,NO,
The Boy and the Beast,,2015,,YES,YES,
The Brave Little Toaster,,1987,,YES,YES,
The Breakfast Club,,1985,10/09/2021,YES,YES,
The Butterfly Effect,,2004,,YES,YES,
The Crow,,1994,,YES,YES,
The Curious Case of Benjamin Button,,2008,,YES,YES,
The Dark Crystal,,1982,,YES,YES,
The DaVinci Code,,,10/20/2021,YES,YES,
The Deer Hunter,,1978,,YES,YES,
The Departed,,2006,,YES,YES,
The Devil's Advocate,,1997,,YES,YES,
The Disaster Artist,,2017,,YES,YES,
The Elephant Man,,1980,,YES,YES,
The Exorcist,,1973,,YES,YES,
The Favourite,,2018,,YES,YES,
The Fifth Element,,1997,,YES,YES,
The Fly,,1986,,YES,YES,
The Founder,,,11/01/2021,YES,YES,
The Fox and the Hound,,1981,,YES,YES,
The Fugitive,,1993,,YES,YES,
The Girl Who Leapt Through Time,,2006,,YES,YES,
The Girl with the Dragon Tattoo,,2011,,YES,YES,
The Godfather,,1972,,YES,YES,
The Godfather: Part II,,1974,,YES,YES,
The Godfather: Part III,,,,YES,NO,
"The Good, the Bad and the Ugly",,1966,,YES,YES,
The Goonies,,1985,,YES,YES,
The Great Mouse Detective,,1986,09/27/2021,YES,YES,
The Green Mile,,1999,,YES,YES,
The Hateful Eight,,2015,,YES,YES,
The Highwaymen,,2019,,YES,YES,
The Hobbit: An Unexpected Journey,,,12/13/2021,YES,NO,Sucked.
The Hobbit: The Battle of the Five Armies,,,12/15/2021,YES,NO,Is it legal to kill someone for making a film so terrible?
The Hobbit: The Desolation of Smaug,,,12/15/2021,YES,NO,Major suck.
The Hunchback of Notre Dame,,1996,11/20/2021,YES,YES,Amazing. The soundtrack SLAPS.
The Hunt,,2012,,YES,YES,
The Impossible,,2012,,YES,YES,
The Incredibles,,2004,,YES,YES,
The Irishman,,2019,,YES,YES,
The Iron Giant,,1999,12/05/2021,YES,YES,
The Jungle Book,,1967,10/25/2021,YES,YES,
The Jungle Book 2,,,10/25/2021,YES,NO,Idk why I watched this. lol
The Karate Kid,,1984,,YES,YES,
The King of Kong: A Fistful of Quarters,,2007,,YES,YES,
The Land Before Time,,1988,,YES,YES,
The Lego Movie,,2014,,YES,YES,
The Lighthouse,,2019,,YES,YES,
The Lion King,,1994,10/09/2021,YES,YES,
The Lion King II: Simba’s Pride,tt0120131,1998,10/10/2021,YES,NO,
The Little Mermaid,,,10/16/2021,YES,YES,
The Little Mermaid II: Return to the Sea,,,10/18/2021,YES,NO,
The Little Prince,,2015,,YES,YES,
The Lord of the Rings: The Fellowship of the Ring,,2001,,YES,YES,
The Lord of the Rings: The Fellowship of the Ring (Extended),,2001,12/17/2021,YES,YES,
The Lord of the Rings: The Return of the King,,2003,,YES,YES,
The Lord of the Rings: The Return of the King (Extended),,2003,12/21/2021,YES,YES,
The Lord of the Rings: The Two Towers,,2002,,YES,YES,
The Lord of the Rings: The Two Towers (Extended),,2002,12/20/2021,YES,YES,
The Martian,,2015,,YES,YES,
The Master,,2012,,YES,YES,
The Matrix,,1999,,YES,YES,
The Mothman Prophecies,,,09/28/2021,YES,NO,
The Mummy,,1999,,YES,YES,
The Naked Gun: From the Files of Police Squad!,,1988,,YES,YES,
The NeverEnding Story,,1984,,YES,YES,
The Nightmare Before Christmas,,1993,10/29/2021,YES,YES,
The Peanuts Movie,,2015,,YES,YES,
The Pianist,,2002,,YES,YES,
The Point,,1971,,YES,YES,
The Prince of Egypt,,1998,,YES,YES,
The Princess and the Frog,,,10/27/2021,YES,YES,
The Princess Bride,,1987,,YES,YES,
The Raid,,2011,,YES,YES,
The Red Pill,,2016,,YES,YES,
The Room,,2003,,YES,YES,
The Running Man,,1987,,YES,YES,
The Sandlot,,,01/16/2021,YES,YES,
The Secret of NIMH,,1982,,YES,YES,
The Shawshank Redemption,,1994,,YES,YES,
The Shining,,1980,,YES,YES,
The Silence of the Lambs,,1991,,YES,YES,
The Sixth Sense,,1999,,YES,YES,
The Social Dilemma,,2020,,YES,YES,
The Social Network,,2010,10/26/2021,YES,YES,
The Sword in the Stone,,1963,,YES,YES,
The Tale of the Princess Kaguya,,2013,,YES,YES,
The Terminator,,1984,,YES,YES,
The Thing,,1982,,YES,YES,
The Treasure of the Sierra Madre,,1948,,YES,YES,
The Triplets of Belleville,,2003,,YES,YES,
The Truman Show,,1998,,YES,YES,
The Usual Suspects,,1995,,YES,YES,
The Wind Rises,,2013,02/05/2021,YES,NO,
The Wizard of Oz,,1939,,YES,YES,
The Wolf of Wall Street,,2013,,YES,YES,
There Will Be Blood,,2007,,YES,YES,
They Live,,1988,,YES,YES,
They Shall Not Grow Old,,2018,,YES,YES,
This Is Spinal Tap,,1984,,YES,YES,
Threads,,1984,,YES,YES,
"Three Billboards Outside Ebbing, Missouri",,2017,,YES,YES,
Throne of Blood,,1957,,YES,YES,
Titanic,,1997,,YES,NO,
